ts,reaction_time,time_to_me,success
2019-06-03 09:00:00.042956193+02:00,606,5085,False
2019-06-03 09:00:00.207588123+02:00,647,4500,False
2019-06-03 09:00:00.276477343+02:00,633,4469,True
2019-06-03 09:00:00.306361141+02:00,577,4459,True
2019-06-03 09:00:00.389016054+02:00,599,4349,True
2019-06-03 09:00:00.426910915+02:00,578,4515,True
2019-06-03 09:00:00.552713100+02:00,572,4472,True
2019-06-03 09:00:00.783978162+02:00,566,4680,True
2019-06-03 09:00:00.870361884+02:00,606,4457,True
2019-06-03 09:00:00.948479263+02:00,563,4394,True
2019-06-03 09:00:01.119118762+02:00,580,4386,True
2019-06-03 09:00:01.410181321+02:00,593,4516,False
2019-06-03 09:00:01.451939868+02:00,575,4479,True
2019-06-03 09:00:01.708461222+02:00,587,4366,True
2019-06-03 09:00:02.089163889+02:00,633,5063,True
2019-06-03 09:00:02.099753466+02:00,585,4426,True
2019-06-03 09:00:02.117235327+02:00,609,4468,True
2019-06-03 09:00:02.230809288+02:00,595,4475,True
2019-06-03 09:00:02.255655837+02:00,580,4536,True
2019-06-03 09:00:02.280531593+02:00,584,4429,True
2019-06-03 09:00:02.314952889+02:00,578,4484,True
2019-06-03 09:00:02.422021534+02:00,597,4948,False
2019-06-03 09:00:02.424916651+02:00,606,4456,True
2019-06-03 09:00:02.498285686+02:00,579,4412,True
2019-06-03 09:00:02.588492033+02:00,612,4401,True
2019-06-03 09:00:02.627379913+02:00,608,4512,False
2019-06-03 09:00:02.968774736+02:00,591,4500,True
2019-06-03 09:00:03.004886214+02:00,623,4433,True
2019-06-03 09:00:03.263280642+02:00,569,4651,False
2019-06-03 09:00:03.263780425+02:00,556,4900,True
2019-06-03 09:00:03.268129979+02:00,561,4378,True
2019-06-03 09:00:03.329357250+02:00,586,4358,True
2019-06-03 09:00:03.333062252+02:00,603,4473,True
2019-06-03 09:00:03.334275673+02:00,628,4443,True
2019-06-03 09:00:03.472660295+02:00,634,4511,False
2019-06-03 09:00:03.476689781+02:00,563,4458,True
2019-06-03 09:00:03.487270955+02:00,558,4531,True
2019-06-03 09:00:03.499692777+02:00,579,4630,False
2019-06-03 09:00:03.516724963+02:00,610,4472,True
2019-06-03 09:00:03.834095224+02:00,598,4816,False
2019-06-03 09:00:03.870810844+02:00,636,4668,True
2019-06-03 09:00:03.913058925+02:00,557,4487,True
2019-06-03 09:00:04.198153507+02:00,577,4542,False
2019-06-03 09:00:04.435315534+02:00,614,4852,False
2019-06-03 09:00:04.437576859+02:00,603,4442,True
